"GeneID"	"GeneSymbol"	"TaxID"	"OrigTaxID"	"OrigGeneID"	"OrigGeneSymbol"	"OrigGeneName"
"100128573"	"100128573"	"LOC100128573"	9606	9606	"100128573"	"LOC100128573"	"uncharacterized LOC100128573"
"100033435"	"100033435"	"-"	9606	9606	"100033435"	"-"	"small nucleolar RNA, C/D box 116-24"
"100033434"	"100033434"	"-"	9606	9606	"100033434"	"-"	"small nucleolar RNA, C/D box 116-23"
"102724598"	"102724598"	"-"	9606	9606	"102724598"	"-"	"-"
"102724593"	"102724593"	"LOC102724593"	9606	9606	"102724593"	"LOC102724593"	"uncharacterized LOC102724593"
"6521"	"6521"	"SLC4A1"	9606	9606	"6521"	"SLC4A1"	"solute carrier family 4 member 1 (Diego blood group)"
"6512"	"6512"	"SLC1A7"	9606	9606	"6512"	"SLC1A7"	"solute carrier family 1 member 7"
"102724589"	"102724589"	"LOC102724589"	9606	9606	"102724589"	"LOC102724589"	"uncharacterized LOC102724589"
"645553"	"645553"	"IGFL2-AS1"	9606	9606	"645553"	"IGFL2-AS1"	"IGFL2 antisense RNA 1"
"100310812"	"100310812"	"SPDYE2B"	9606	9606	"100310812"	"SPDYE2B"	"speedy/RINGO cell cycle regulator family member E2B"
"645528"	"645528"	"FAM238A"	9606	9606	"645528"	"FAM238A"	"family with sequence similarity 238 member A"
"6545"	"6545"	"SLC7A4"	9606	9606	"6545"	"SLC7A4"	"solute carrier family 7 member 4"
"6561"	"6561"	"SLC13A1"	9606	9606	"6561"	"SLC13A1"	"solute carrier family 13 member 1"
"6559"	"6559"	"SLC12A3"	9606	9606	"6559"	"SLC12A3"	"solute carrier family 12 member 3"
"101930492"	NA	NA	NA	NA	"101930492"	NA	NA
"101930493"	NA	NA	NA	NA	"101930493"	NA	NA
"163933"	"163933"	"FAM43B"	9606	9606	"163933"	"FAM43B"	"family with sequence similarity 43 member B"
"222008"	"222008"	"VSTM2A"	9606	9606	"222008"	"VSTM2A"	"V-set and transmembrane domain containing 2A"
"171022"	"171022"	"ABHD11-AS1"	9606	9606	"171022"	"ABHD11-AS1"	"ABHD11 antisense RNA 1 (tail to tail)"
"101930470"	NA	NA	NA	NA	"101930470"	NA	NA
"101929097"	"101929097"	"-"	9606	9606	"101929097"	"-"	"-"
"53836"	"53836"	"GPR87"	9606	9606	"53836"	"GPR87"	"G protein-coupled receptor 87"
"126147"	"126147"	"NTN5"	9606	9606	"126147"	"NTN5"	"netrin 5"
"101930427"	NA	NA	NA	NA	"101930427"	NA	NA
"140706"	"140706"	"CCM2L"	9606	9606	"140706"	"CCM2L"	"CCM2 like scaffold protein"
"101929083"	"101929083"	"CASC6"	9606	9606	"101929083"	"CASC6"	"cancer susceptibility 6"
"7686"	"7686"	"MKRN7P"	9606	9606	"7686"	"MKRN7P"	"makorin ring finger protein 7, pseudogene"
"101929095"	"101929095"	"LOC101929095"	9606	9606	"101929095"	"LOC101929095"	"uncharacterized LOC101929095"
"158800"	"158800"	"RHOXF1"	9606	9606	"158800"	"RHOXF1"	"Rhox homeobox family member 1"
"101929089"	"101929089"	"LOC101929089"	9606	9606	"101929089"	"LOC101929089"	"uncharacterized LOC101929089"
"101929018"	"101929018"	"LOC101929018"	9606	9606	"101929018"	"LOC101929018"	"uncharacterized LOC101929018"
"150935"	"150935"	"LOC150935"	9606	9606	"150935"	"LOC150935"	"uncharacterized LOC150935"
"101929035"	NA	NA	NA	NA	"101929035"	NA	NA
"127294"	"127294"	"MYOM3"	9606	9606	"127294"	"MYOM3"	"myomesin 3"
"388553"	"388553"	"BHMG1"	9606	9606	"388553"	"BHMG1"	"basic helix-loop-helix and HMG-box containing 1"
"140771"	"140771"	"SMCR5"	9606	9606	"140771"	"SMCR5"	"Smith-Magenis syndrome chromosome region, candidate 5"
"100033416"	"100033416"	"-"	9606	9606	"100033416"	"-"	"small nucleolar RNA, C/D box 116-4"
"140767"	"140767"	"NRSN1"	9606	9606	"140767"	"NRSN1"	"neurensin 1"
"388533"	"388533"	"KRTDAP"	9606	9606	"388533"	"KRTDAP"	"keratinocyte differentiation associated protein"
"102724473"	"102724473"	"GAGE10"	9606	9606	"102724473"	"GAGE10"	"G antigen 10"
"102724479"	"102724479"	"LOC102724479"	9606	9606	"102724479"	"LOC102724479"	"uncharacterized LOC102724479"
"102724463"	"102724463"	"LOC102724463"	9606	9606	"102724463"	"LOC102724463"	"uncharacterized LOC102724463"
"400508"	"400508"	"CRYM-AS1"	9606	9606	"400508"	"CRYM-AS1"	"CRYM antisense RNA 1"
"102724440"	NA	NA	NA	NA	"102724440"	NA	NA
"388407"	"388407"	"C17orf82"	9606	9606	"388407"	"C17orf82"	"chromosome 17 open reading frame 82"
"102724448"	NA	NA	NA	NA	"102724448"	NA	NA
"100129940"	"100129940"	"LOC100129940"	9606	9606	"100129940"	"LOC100129940"	"uncharacterized LOC100129940"
